t,Ekin,Epot,Etot
0.2621666667,0.0003505918,0.0003407360,0.0006913279
0.2623333333,0.0003577143,0.0003349833,0.0006926976
0.2625000000,0.0003648507,0.0003292369,0.0006940876
0.2626666667,0.0003719982,0.0003234994,0.0006954976
0.2628333333,0.0003791537,0.0003177735,0.0006969272
0.2630000000,0.0003863144,0.0003120618,0.0006983762
0.2631666667,0.0003934773,0.0003063670,0.0006998444
0.2633333333,0.0004006395,0.0003006919,0.0007013314
0.2635000000,0.0004077980,0.0002950392,0.0007028372
0.2636666667,0.0004149499,0.0002894122,0.0007043621
0.2638333333,0.0004220922,0.0002838141,0.0007059062
0.2640000000,0.0004292218,0.0002782475,0.0007074694
0.2641666667,0.0004363359,0.0002727149,0.0007090508
0.2643333333,0.0004434315,0.0002672182,0.0007106497
0.2645000000,0.0004505057,0.0002617598,0.0007122655
0.2646666667,0.0004575553,0.0002563425,0.0007138978
0.2648333333,0.0004645776,0.0002509692,0.0007155468
0.2650000000,0.0004715696,0.0002456430,0.0007172126
0.2651666667,0.0004785283,0.0002403667,0.0007188950
0.2653333333,0.0004854507,0.0002351428,0.0007205935
0.2655000000,0.0004923341,0.0002299737,0.0007223078
0.2656666667,0.0004991754,0.0002248621,0.0007240375
0.2658333333,0.0005059718,0.0002198105,0.0007257823
0.2660000000,0.0005127203,0.0002148214,0.0007275417
0.2661666667,0.0005194182,0.0002098971,0.0007293152
0.2663333333,0.0005260625,0.0002050397,0.0007311022
0.2665000000,0.0005326505,0.0002002520,0.0007329025
0.2666666667,0.0005391793,0.0001955367,0.0007347160
0.2668333333,0.0005456461,0.0001908967,0.0007365428
0.2670000000,0.0005520482,0.0001863343,0.0007383825
0.2671666667,0.0005583828,0.0001818514,0.0007402343
0.2673333333,0.0005646473,0.0001774500,0.0007420972
0.2675000000,0.0005708388,0.0001731320,0.0007439708
0.2676666667,0.0005769547,0.0001689004,0.0007458551
0.2678333333,0.0005829925,0.0001647578,0.0007477503
0.2680000000,0.0005889495,0.0001607068,0.0007496563
0.2681666667,0.0005948230,0.0001567494,0.0007515724
0.2683333333,0.0006006106,0.0001528869,0.0007534975
0.2685000000,0.0006063098,0.0001491209,0.0007554307
0.2686666667,0.0006119180,0.0001454534,0.0007573714
0.2688333333,0.0006174329,0.0001418868,0.0007593197
0.2690000000,0.0006228520,0.0001384237,0.0007612757
0.2691666667,0.0006281729,0.0001350665,0.0007632394
0.2693333333,0.0006333934,0.0001318170,0.0007652104
0.2695000000,0.0006385111,0.0001286769,0.0007671880
0.2696666667,0.0006435237,0.0001256478,0.0007691715
0.2698333333,0.0006484292,0.0001227309,0.0007711600
0.2700000000,0.0006532252,0.0001199275,0.0007731527
0.2701666667,0.0006579098,0.0001172391,0.0007751489
0.2703333333,0.0006624807,0.0001146674,0.0007771482
0.2705000000,0.0006669361,0.0001122147,0.0007791508
0.2706666667,0.0006712739,0.0001098834,0.0007811573
0.2708333333,0.0006754922,0.0001076756,0.0007831678
0.2710000000,0.0006795891,0.0001055926,0.0007851816
0.2711666667,0.0006835627,0.0001036345,0.0007871973
0.2713333333,0.0006874114,0.0001018015,0.0007892129
0.2715000000,0.0006911333,0.0001000942,0.0007912275
0.2716666667,0.0006947268,0.0000985143,0.0007932411
0.2718333333,0.0006981903,0.0000970641,0.0007952544
0.2720000000,0.0007015222,0.0000957459,0.0007972681
0.2721666667,0.0007047210,0.0000945611,0.0007992820
0.2723333333,0.0007077852,0.0000935102,0.0008012953
0.2725000000,0.0007107134,0.0000925933,0.0008033067
0.2726666667,0.0007135044,0.0000918106,0.0008053150
0.2728333333,0.0007161568,0.0000911626,0.0008073194
0.2730000000,0.0007186694,0.0000906502,0.0008093196
0.2731666667,0.0007210410,0.0000902742,0.0008113152
0.2733333333,0.0007232706,0.0000900359,0.0008133064
0.2735000000,0.0007253570,0.0000899363,0.0008152933
0.2736666667,0.0007272994,0.0000899763,0.0008172757
0.2738333333,0.0007290967,0.0000901567,0.0008192534
0.2740000000,0.0007307482,0.0000904772,0.0008212255
0.2741666667,0.0007322531,0.0000909374,0.0008231905
0.2743333333,0.0007336106,0.0000915368,0.0008251474
0.2745000000,0.0007348200,0.0000922757,0.0008270957
0.2746666667,0.0007358808,0.0000931550,0.0008290357
0.2748333333,0.0007367924,0.0000941755,0.0008309679
0.2750000000,0.0007375543,0.0000953379,0.0008328922
0.2751666667,0.0007381662,0.0000966419,0.0008348081
0.2753333333,0.0007386278,0.0000980867,0.0008367145
0.2755000000,0.0007389386,0.0000996716,0.0008386102
0.2756666667,0.0007390986,0.0001013965,0.0008404951
0.2758333333,0.0007391076,0.0001032613,0.0008423688
0.2760000000,0.0007389654,0.0001052661,0.0008442315
0.2761666667,0.0007386722,0.0001074105,0.0008460827
0.2763333333,0.0007382280,0.0001096938,0.0008479218
0.2765000000,0.0007376329,0.0001121154,0.0008497483
0.2766666667,0.0007368870,0.0001146749,0.0008515620
0.2768333333,0.0007359908,0.0001173719,0.0008533627
0.2770000000,0.0007349444,0.0001202058,0.0008551502
0.2771666667,0.0007337483,0.0001231756,0.0008569239
0.2773333333,0.0007324029,0.0001262801,0.0008586831
0.2775000000,0.0007309089,0.0001295184,0.0008604272
0.2776666667,0.0007292667,0.0001328896,0.0008621562
0.2778333333,0.0007274770,0.0001363931,0.0008638701
0.2780000000,0.0007255406,0.0001400281,0.0008655687
0.2781666667,0.0007234583,0.0001437932,0.0008672515
0.2783333333,0.0007212310,0.0001476868,0.0008689178
0.2785000000,0.0007188595,0.0001517077,0.0008705671
0.2786666667,0.0007163448,0.0001558546,0.0008721995
0.2788333333,0.0007136881,0.0001601268,0.0008738149
0.2790000000,0.0007108904,0.0001645229,0.0008754133
0.2791666667,0.0007079530,0.0001690412,0.0008769942
0.2793333333,0.0007048771,0.0001736798,0.0008785569
0.2795000000,0.0007016639,0.0001784368,0.0008801008
0.2796666667,0.0006983150,0.0001833107,0.0008816257
0.2798333333,0.0006948317,0.0001883003,0.0008831320
0.2800000000,0.0006912155,0.0001934039,0.0008846194
0.2801666667,0.0006874681,0.0001986199,0.0008860880
0.2803333333,0.0006835910,0.0002039461,0.0008875370
0.2805000000,0.0006795859,0.0002093804,0.0008889663
0.2806666667,0.0006754546,0.0002149212,0.0008903758
0.2808333333,0.0006711989,0.0002205664,0.0008917652
0.2810000000,0.0006668206,0.0002263139,0.0008931345
0.2811666667,0.0006623217,0.0002321613,0.0008944830
0.2813333333,0.0006577041,0.0002381061,0.0008958102
0.2815000000,0.0006529700,0.0002441463,0.0008971163
0.2816666667,0.0006481213,0.0002502802,0.0008984015
0.2818333333,0.0006431603,0.0002565062,0.0008996665
0.2820000000,0.0006380891,0.0002628220,0.0009009111
0.2821666667,0.0006329100,0.0002692247,0.0009021347
0.2823333333,0.0006276253,0.0002757110,0.0009033363
0.2825000000,0.0006222373,0.0002822780,0.0009045153
0.2826666667,0.0006167485,0.0002889232,0.0009056717
0.2828333333,0.0006111613,0.0002956449,0.0009068063
0.2830000000,0.0006054782,0.0003024413,0.0009079196
0.2831666667,0.0005997018,0.0003093101,0.0009090119
0.2833333333,0.0005938346,0.0003162483,0.0009100829
0.2835000000,0.0005878794,0.0003232527,0.0009111321
0.2836666667,0.0005818387,0.0003303201,0.0009121588
0.2838333333,0.0005757154,0.0003374475,0.0009131628
0.2840000000,0.0005695121,0.0003446320,0.0009141441
0.2841666667,0.0005632317,0.0003518712,0.0009151029
0.2843333333,0.0005568771,0.0003591625,0.0009160395
0.2845000000,0.0005504510,0.0003665035,0.0009169545
0.2846666667,0.0005439566,0.0003738917,0.0009178483
0.2848333333,0.0005373966,0.0003813242,0.0009187208
0.2850000000,0.0005307741,0.0003887974,0.0009195715
